"","Title","Date","Prize","URL"
"33","標題[賣/台北] iphone6s 64G太空灰 台積電版","時間Sun Oct 18 11:33:14 2015","[交易價格]：30,000","https://www.ptt.cc/bbs/MacShop/M.1445139197.A.56F.html"
"34","標題[賣/彰化] iPhone 6 plus 64g 灰 保固內","時間Sun Oct 18 11:36:39 2015","[交易價格]：21000","https://www.ptt.cc/bbs/MacShop/M.1445139402.A.755.html"
"35","標題[賣/台南] iPhone 6s+plus 銀色64g 台積電 TSMC","時間Sun Oct 18 11:43:16 2015","[交易價格]：33,500","https://www.ptt.cc/bbs/MacShop/M.1445139799.A.BCC.html"
"36","標題[賣/全台] 超級便宜-美國iTunes Store Gift Card","時間Sun Oct 18 11:48:24 2015"," [交易價格]","https://www.ptt.cc/bbs/MacShop/M.1445140109.A.FC0.html"
"37","標題[賣/台南] iPad mini 4 16G/64G 金 全新 日本","時間Sun Oct 18 12:05:06 2015","[交易價格]：12800/15800","https://www.ptt.cc/bbs/MacShop/M.1445141110.A.496.html"
"38","標題[賣/台中] 金 iPhone6 16G 公司貨.保內","時間Sun Oct 18 12:17:27 2015","[交易價格]：3999元 (已售出！！！)","https://www.ptt.cc/bbs/MacShop/M.1445141850.A.072.html"
"39","標題[賣/台北］ipad mini 1 16G銀白色 日版","時間Sun Oct 18 12:26:11 2015","[交易價格]：3800","https://www.ptt.cc/bbs/MacShop/M.1445142377.A.7A9.html"
"40","標題[賣/台北] iPhone5s 32G 金 已過保","時間Sun Oct 18 12:29:58 2015","[交易價格]：10,000","https://www.ptt.cc/bbs/MacShop/M.1445142602.A.766.html"
"41","標題[賣/台中] iphone 6 plus+ 64G 白銀 保固中","時間Sun Oct 18 12:39:21 2015","[交易價格]：19K","https://www.ptt.cc/bbs/MacShop/M.1445143164.A.5E8.html"
"42","標題[賣/台南] iPhone 5 64g 銀 8.4 8500元 免運費","時間Sun Oct 18 12:43:34 2015","[交易價格]： 8500元 匯款者請自行扣除15元轉帳費","https://www.ptt.cc/bbs/MacShop/M.1445143433.A.AA7.html"
"43","標題[賣/全國] iphone6s 64g 玫瑰金 官網購入","時間Sun Oct 18 12:44:39 2015","[交易價格]：28500","https://www.ptt.cc/bbs/MacShop/M.1445143482.A.1A0.html"
"44","標題[賣/高雄] iPhone 5 黑 16G","時間Sun Oct 18 12:46:58 2015","[交易價格]：5500可議","https://www.ptt.cc/bbs/MacShop/M.1445143621.A.45F.html"
"45","標題[賣/高雄] iPhone 6S 64GB 玫瑰金(原價)","時間Sun Oct 18 12:59:27 2015","[交易價格]：28,500","https://www.ptt.cc/bbs/MacShop/M.1445144371.A.DE3.html"
"46","標題[賣/高雄]MACBOOK 2010 mid 末代小白","時間Sun Oct 18 13:04:14 2015","[交易價格]：8000","https://www.ptt.cc/bbs/MacShop/M.1445144662.A.C2B.html"
"47","標題[賣/台北] iPhone 6s Plus 64G 玫瑰金","時間Sun Oct 18 13:16:06 2015","[交易價格]：32500","https://www.ptt.cc/bbs/MacShop/M.1445145369.A.17F.html"
"48","標題[賣/台中] iphone 6 64","時間Sun Oct 18 13:17:36 2015","[交易價格]：14000(不議價)","https://www.ptt.cc/bbs/MacShop/M.1445145458.A.874.html"
"49","標題[賣/中部]  IPhone 6 Plus 64G 金","時間Sun Oct 18 13:26:52 2015","[交易價格]：$18000（恕不議價）","https://www.ptt.cc/bbs/MacShop/M.1445146014.A.04B.html"
"50","標題[賣/台北] iPhone 5s 16GB 女用機","時間Sun Oct 18 13:30:43 2015","[交易價格]：8500","https://www.ptt.cc/bbs/MacShop/M.1445146245.A.003.html"
"51","標題[賣/台北] iphone 5 32G 黑 (已售出)","時間Sun Oct 18 13:33:18 2015","[交易價格]：6000 (不要耳機-500，不要傳輸線-200)","https://www.ptt.cc/bbs/MacShop/M.1445146401.A.8E2.html"
"52","標題[賣/台北] iPhone 5c 綠 16GB ","時間Sun Oct 18 13:33:46 2015","[交易價格]：5,000","https://www.ptt.cc/bbs/MacShop/M.1445146428.A.D37.html"
"53","標題[賣/台中] iphone5s 32G金 面交or店到店","時間Sun Oct 18 13:35:32 2015","[交易價格] : NT.9000","https://www.ptt.cc/bbs/MacShop/M.1445146534.A.7AD.html"
"54","標題[賣/新竹] MacBook Air 13"" Mid-2012 (降價)","時間Sun Oct 18 13:36:19 2015","[交易價格]：18,000","https://www.ptt.cc/bbs/MacShop/M.1445146581.A.C86.html"
"55","標題[賣/高雄] I PHONE 3GS 16G 黑 ","時間Sun Oct 18 13:36:25 2015","[交易價格]：1000","https://www.ptt.cc/bbs/MacShop/M.1445146588.A.2A8.html"
"56","標題[賣/台中] iPhone 6S Plus 64G 玫瑰金","時間Sun Oct 18 13:44:14 2015","[交易價格]：32500","https://www.ptt.cc/bbs/MacShop/M.1445147058.A.179.html"
"57","標題[賣/台北] iPhone 6s 64GB 玫瑰金 官網未拆","時間Sun Oct 18 13:47:33 2015","[交易價格]：29,000","https://www.ptt.cc/bbs/MacShop/M.1445147256.A.DA7.html"
"58","標題[賣/台北] iPhone5S 32G 太空灰 9成新[已徵到]","時間Sun Oct 18 14:02:22 2015","[交易價格]：10500 (含4個手機殼)","https://www.ptt.cc/bbs/MacShop/M.1445148145.A.694.html"
"59","標題[賣/高雄] iPhone 5s 16G 金色","時間Sun Oct 18 14:13:03 2015","[交易價格]：$8,500，不議價","https://www.ptt.cc/bbs/MacShop/M.1445148787.A.F6A.html"
"60","標題[賣/高雄] IPHONE5 32G 銀白","時間Sun Oct 18 14:29:01 2015","[交易價格]：6500","https://www.ptt.cc/bbs/MacShop/M.1445149745.A.1B7.html"
"61","標題[賣/台北] iPhone 6S 128G 玫瑰金","時間Sun Oct 18 14:34:44 2015","[交易價格]：32200","https://www.ptt.cc/bbs/MacShop/M.1445150086.A.286.html"
"62","標題[賣/台北] 全新官網6s plus 64G玫瑰金","時間Sun Oct 18 14:35:07 2015","[交易價格]：售出","https://www.ptt.cc/bbs/MacShop/M.1445150109.A.D56.html"
"63","標題[賣/台中] 二手IPad mini3 16G ","時間Sun Oct 18 14:42:38 2015","[交易價格]：9300","https://www.ptt.cc/bbs/MacShop/M.1445150560.A.B6D.html"
"64","標題[賣/高雄] iPhone 6 Plus 128GB 金 全新整新機","時間Sun Oct 18 15:15:56 2015","[交易價格]： 24000","https://www.ptt.cc/bbs/MacShop/M.1445152563.A.BBA.html"
"65","標題[賣/台北] IPHONE 6S PLUS 64G 金 全新加贈好禮","時間Sun Oct 18 15:40:55 2015","[交易價格]：33500","https://www.ptt.cc/bbs/MacShop/M.1445154058.A.F9F.html"
"66","標題[賣/台中] 原價 玫瑰金 iphone6s 64g 官網貨","時間Sun Oct 18 15:41:06 2015","[交易價格]：27800","https://www.ptt.cc/bbs/MacShop/M.1445154068.A.BFE.html"
"67","標題[賣/ ]","時間Sun Oct 18 15:44:33 2015","[交易價格]：4800","https://www.ptt.cc/bbs/MacShop/M.1445154275.A.375.html"
"68","標題[賣/台北] iPhone5s 32g 金","時間Sun Oct 18 15:44:46 2015","[交易價格]：$9500","https://www.ptt.cc/bbs/MacShop/M.1445154288.A.0BF.html"
"69","標題[賣/新竹] iPhone6s 16g 玫瑰金 21500元","時間Sun Oct 18 15:59:25 2015","[交易價格]：21500元 低於九折了 議價信不回應","https://www.ptt.cc/bbs/MacShop/M.1445155168.A.C48.html"
"70","標題[賣/高雄] iPhone 6S 64GB 玫瑰金 原價賣","時間Sun Oct 18 16:03:58 2015","[交易價格]：28500","https://www.ptt.cc/bbs/MacShop/M.1445155441.A.BBA.html"
"71","標題[賣/台北] 全新官網iPhone 6S Plus 64GB 玫瑰金","時間Sun Oct 18 16:21:03 2015","[交易價格]：","https://www.ptt.cc/bbs/MacShop/M.1445156467.A.D10.html"
"72","標題[賣/高雄] iPhone 6 64G 銀色","時間Sun Oct 18 16:25:28 2015","[交易價格]：15000","https://www.ptt.cc/bbs/MacShop/M.1445156732.A.BF1.html"
"73","標題[賣/台北] iphone6 64G 銀色","時間Sun Oct 18 16:29:40 2015","[交易價格]：15000","https://www.ptt.cc/bbs/MacShop/M.1445156983.A.FE5.html"
"74","標題[賣/新竹] Apple Watch Sport 42mm 白色 9.9成新","時間Sun Oct 18 16:30:00 2015",": [交易價格]：9000 (暫不接受議價)","https://www.ptt.cc/bbs/MacShop/M.1445157005.A.510.html"
"75","標題[賣/台北] iphone 6s 16g 玫瑰金","時間Sun Oct 18 16:32:53 2015","[交易價格]： 22500","https://www.ptt.cc/bbs/MacShop/M.1445157176.A.34D.html"
"76","標題[賣/台北] 二手iphone 5s 金32G","時間Sun Oct 18 16:37:35 2015","[交易價格]：$9500","https://www.ptt.cc/bbs/MacShop/M.1445157458.A.307.html"
"77","標題[賣/全省] iPhone 6S 16g 玫瑰金 中華神腦保","時間Sun Oct 18 16:59:55 2015","[交易價格]：23,000 (可配合至吳興街公車總站或松江南京8號出口面交者22,500)","https://www.ptt.cc/bbs/MacShop/M.1445158798.A.2A0.html"
"78","標題[賣/台北] iPad Air 32G Wifi版 白色","時間Sun Oct 18 17:00:03 2015","[交易價格]：$9000","https://www.ptt.cc/bbs/MacShop/M.1445158805.A.EEE.html"
"79","標題[賣/高雄] ipad mini 16g wifi+cellular 白色","時間Sun Oct 18 17:02:52 2015","[交易價格]：4500","https://www.ptt.cc/bbs/MacShop/M.1445158974.A.855.html"
"80","標題[賣/北部] 全新未拆封iPad mini3 WiFi版 16G 金 ","時間Sun Oct 18 17:21:10 2015","[交易價格]：NTD $10500元整","https://www.ptt.cc/bbs/MacShop/M.1445160076.A.D9C.html"
"81","標題[賣/台南] iphone6 16g 金(保固內) ","時間Sun Oct 18 17:21:46 2015","[交易價格]：14500","https://www.ptt.cc/bbs/MacShop/M.1445160108.A.547.html"
"82","標題[賣/基隆] iphone6 64G 太空灰","時間Sun Oct 18 17:31:06 2015","[交易價格]：16500","https://www.ptt.cc/bbs/MacShop/M.1445160668.A.A20.html"
"83","標題[賣/全國 ] 全新 IPAD AIR 2 64G 金色 WIFI","時間Sun Oct 18 17:35:42 2015","[交易價格]：16500元","https://www.ptt.cc/bbs/MacShop/M.1445160944.A.668.html"
"84","標題[賣/台中] 二手 iPhone 6 64GB 金色","時間Sun Oct 18 17:41:42 2015","[交易價格]：NT$ 16,500","https://www.ptt.cc/bbs/MacShop/M.1445161305.A.084.html"
"85","標題[賣/全國] iMac 27"" 2012 late 3.2G/降價重po","時間Sun Oct 18 17:45:28 2015","[交易價格]：40500（已降價，誠可小議）","https://www.ptt.cc/bbs/MacShop/M.1445161530.A.CFA.html"
"86","標題[賣/全國] iPhone 6S白豆腐 ","時間Sun Oct 18 17:59:34 2015","[交易價格]：白豆腐400 郵寄費用另付","https://www.ptt.cc/bbs/MacShop/M.1445162377.A.17D.html"
"87","標題[賣/台北] APPLE iPhone5 16G銀白","時間Sun Oct 18 18:00:01 2015","[交易價格]：5000","https://www.ptt.cc/bbs/MacShop/M.1445162404.A.641.html"
"88","標題[賣/臺北] iPhone 6 Plus 64g 金色","時間Sun Oct 18 18:04:21 2015","[交易價格]： 19000","https://www.ptt.cc/bbs/MacShop/M.1445162663.A.21B.html"
"89","標題[賣/全國] ","時間Sun Oct 18 18:14:50 2015","[交易價格]：傳輸線:420元/EarPods耳機:520","https://www.ptt.cc/bbs/MacShop/M.1445163293.A.0BA.html"
"90","標題[賣/台北] 剛買的iPhone6 plus 64G 太空灰  ","時間Sun Oct 18 18:19:34 2015","[交易價格]：23000","https://www.ptt.cc/bbs/MacShop/M.1445163576.A.41A.html"
"91","標題[賣/台北] 賣iphone 5 64GB黑色 外觀有破損 ","時間Sun Oct 18 18:32:46 2015","[交易價格]：6000","https://www.ptt.cc/bbs/MacShop/M.1445164368.A.CC3.html"
"92","標題[賣/台北] TheNewiPad/iPad3 16G白色Wifi+3G","時間Sun Oct 18 19:05:36 2015","[交易價格]：NTD 5,500","https://www.ptt.cc/bbs/MacShop/M.1445166340.A.9F2.html"
"93","標題[賣/台南] iPhone 5S 32G 金 兩隻 $9300 $9000","時間Sun Oct 18 19:10:22 2015","[交易價格]：手機一9300手機二9000","https://www.ptt.cc/bbs/MacShop/M.1445166625.A.2CB.html"
"94","標題[賣/台中] IPhone5 16g 銀白 ","時間Sun Oct 18 19:15:31 2015","[交易價格]：4500","https://www.ptt.cc/bbs/MacShop/M.1445166934.A.E6E.html"
"95","標題[賣/高雄] iPhone 5 16g 黑色","時間Sun Oct 18 19:28:25 2015","[交易價格]：6000元(可議)","https://www.ptt.cc/bbs/MacShop/M.1445167708.A.8A6.html"
"96","標題[賣/台北] iPhone 6S 128G 玫瑰金 TSMC版","時間Sun Oct 18 19:30:55 2015","[交易價格]：34500","https://www.ptt.cc/bbs/MacShop/M.1445167858.A.273.html"
"97","標題[賣/新北] iphone6s plus 64GB 玫瑰金","時間Sun Oct 18 19:39:09 2015","[交易價格]：32000元","https://www.ptt.cc/bbs/MacShop/M.1445168351.A.FCE.html"
"98","標題[賣/台北] 原廠lighting/白豆腐/EarPods","時間Sun Oct 18 19:43:56 2015","[交易價格]：","https://www.ptt.cc/bbs/MacShop/M.1445168638.A.D7D.html"
"99","標題[賣/台北] iphone6s plus 64GB 玫瑰金 ","時間Sun Oct 18 19:53:29 2015","[交易價格]：32500元","https://www.ptt.cc/bbs/MacShop/M.1445169215.A.611.html"
"100","標題[賣/台北] iphone 5 16G 銀白","時間Sun Oct 18 20:12:07 2015","[交易價格]：5400(恕不議價)","https://www.ptt.cc/bbs/MacShop/M.1445170331.A.1F7.html"
"101","標題[賣/台中］iPhone 5 / 16g / 銀白","時間Sun Oct 18 20:25:19 2015","[交易價格]：6000","https://www.ptt.cc/bbs/MacShop/M.1445171121.A.AAC.html"
"102","標題[賣/台北] 二手 Aple Watch Sport 42mm 黑","時間Sun Oct 18 20:29:59 2015","[交易價格]：9000","https://www.ptt.cc/bbs/MacShop/M.1445171401.A.E45.html"
"103","標題[賣/新竹] iPhone6s 玫瑰金 16G 神腦貨 ","時間Sun Oct 18 20:30:18 2015","[交易價格]： 23000","https://www.ptt.cc/bbs/MacShop/M.1445171420.A.54A.html"
"104","標題[賣/新竹] iphone 5s 16G 金色","時間Sun Oct 18 20:43:01 2015","[交易價格]：8500","https://www.ptt.cc/bbs/MacShop/M.1445172183.A.899.html"
"105","標題[賣/台南] 賣IPAD AIR2 64G WIFI 金色 9成5新","時間Sun Oct 18 20:45:41 2015","[交易價格]: 15500","https://www.ptt.cc/bbs/MacShop/M.1445172345.A.DE2.html"
"106","標題[賣/台北] 二手 iPad mini2 16G wifi 銀白","時間Sun Oct 18 20:59:06 2015","[交易價格]：6000","https://www.ptt.cc/bbs/MacShop/M.1445173148.A.4BA.html"
"107","標題[賣/台南] iPhone6s plus 64g 太空灰 全新未拆","時間Sun Oct 18 21:04:18 2015","[交易價格]：32500元","https://www.ptt.cc/bbs/MacShop/M.1445173460.A.798.html"
"108","標題[賣/台南]  超新銀iPad mini 16g wifi $4000","時間Sun Oct 18 21:06:36 2015","[交易價格]：＄4000 運費另計","https://www.ptt.cc/bbs/MacShop/M.1445173599.A.068.html"
"109","標題[賣/高雄] iPhone 5s 16G 太空灰","時間Sun Oct 18 21:07:50 2015","[交易價格]：7000","https://www.ptt.cc/bbs/MacShop/M.1445173672.A.6C1.html"
"110","標題[賣/全國] iPad mini4 64g 16g 全新","時間Sun Oct 18 21:08:19 2015","[交易價格]：15200元","https://www.ptt.cc/bbs/MacShop/M.1445173703.A.FE3.html"
"111","標題[賣/台中] iphone5銀白 無傷","時間Sun Oct 18 21:17:41 2015","[交易價格]：5500","https://www.ptt.cc/bbs/MacShop/M.1445174263.A.1BD.html"
"112","標題[賣/台南] mac mini 2014 late i5 1.4GHz","時間Sun Oct 18 21:18:18 2015","[交易價格]：14000(價可議)","https://www.ptt.cc/bbs/MacShop/M.1445174301.A.1E8.html"
"113","標題[賣/全國] iPhone6 金色 16G 使用未滿半年","時間Sun Oct 18 21:31:28 2015","[交易價格]：15000 ~","https://www.ptt.cc/bbs/MacShop/M.1445175091.A.B0A.html"
"114","標題[賣/台北] iPhone 6s 64G 金 全新未拆 27000","時間Sun Oct 18 21:51:01 2015","[交易價格]：27000","https://www.ptt.cc/bbs/MacShop/M.1445176264.A.5B4.html"
"115","標題[賣/高雄] iPad Air 16G wifi 銀白色","時間Sun Oct 18 21:52:01 2015","[交易價格]：8000元","https://www.ptt.cc/bbs/MacShop/M.1445176324.A.4B2.html"
"116","標題[賣/新竹] iPhone 6 64g 金色","時間Sun Oct 18 21:54:34 2015","[交易價格]：17500","https://www.ptt.cc/bbs/MacShop/M.1445176477.A.7B5.html"
"117","標題[賣/全省] AppleCare for MacBook 13","時間Sun Oct 18 22:03:21 2015","[交易價格]：6,000","https://www.ptt.cc/bbs/MacShop/M.1445177004.A.151.html"
"118","標題[賣/高雄] iphone5s 16G金 ","時間Sun Oct 18 22:03:26 2015","[交易價格]：8000","https://www.ptt.cc/bbs/MacShop/M.1445177009.A.B64.html"
"119","標題[賣/台北] 二手 macbook 2009 末代小白 6000 ","時間Sun Oct 18 22:04:43 2015","[交易價格]：6500","https://www.ptt.cc/bbs/MacShop/M.1445177090.A.AC8.html"
"120","標題[賣/台北] iPhone 6 16G 太空灰","時間Sun Oct 18 22:08:54 2015","[交易價格]：13500","https://www.ptt.cc/bbs/MacShop/M.1445177337.A.DD7.html"
"121","標題[賣/全省] 全新 Ipad air2 64Gb 灰 Wifi","時間Sun Oct 18 22:12:07 2015","[交易價格]：16500 ( 含運費 )","https://www.ptt.cc/bbs/MacShop/M.1445177530.A.8D6.html"
"122","標題[賣/台北] iPhone6 plus+ 64Gb_MLC 金色 非常新","時間Sun Oct 18 22:16:29 2015","[交易價格]： 18500","https://www.ptt.cc/bbs/MacShop/M.1445177792.A.B72.html"
"123","標題[賣/台北] iPhone 6 Plus 64GB 銀 神腦公司貨","時間Sun Oct 18 22:20:43 2015","[交易價格]：19000","https://www.ptt.cc/bbs/MacShop/M.1445178047.A.297.html"
"124","標題[賣/中壢] WATCH 42mm 不鏽鋼配黑色運動錶帶 ","時間Sun Oct 18 22:22:54 2015","[交易價格]：原價 19900 賣 17500 元  全新未開封","https://www.ptt.cc/bbs/MacShop/M.1445178176.A.5E2.html"
"125","標題[賣/新竹]Macbook ","時間Sun Oct 18 22:45:36 2015","[交易價格]：33000","https://www.ptt.cc/bbs/MacShop/M.1445179540.A.43E.html"
"126","標題[賣/台北] iphone 4 16GB 黑 ","時間Sun Oct 18 22:47:22 2015","[交易價格]：2000","https://www.ptt.cc/bbs/MacShop/M.1445179645.A.C5F.html"
"127","標題[賣/雙北] iphone 6s 64g 玫瑰金 官網貨 ","時間Sun Oct 18 22:51:10 2015","[交易價格]：28300","https://www.ptt.cc/bbs/MacShop/M.1445179873.A.882.html"
"128","標題[賣/台北] MacBook Pro 13"" 2012 mid","時間Sun Oct 18 23:00:12 2015","[交易價格]：20000","https://www.ptt.cc/bbs/MacShop/M.1445180415.A.637.html"
"129","標題[賣/高雄] ipad air2太空灰16g","時間Sun Oct 18 23:01:52 2015","[交易價格]： 11600元","https://www.ptt.cc/bbs/MacShop/M.1445180515.A.D06.html"
"130","標題[賣/台中] iPhone 6s plus 64G 玫瑰金32300","時間Sun Oct 18 23:03:42 2015","[交易價格]：32300元","https://www.ptt.cc/bbs/MacShop/M.1445180625.A.F76.html"
"131","標題[賣/新北] iPhone 6 64G 銀","時間Sun Oct 18 23:06:12 2015","[交易價格]：17500，不要配件可減$500。 可含運。","https://www.ptt.cc/bbs/MacShop/M.1445180776.A.5F4.html"
"132","標題[賣/台北] iPad Mini 2 LTE 32GB","時間Sun Oct 18 23:06:32 2015","[交易價格]：$11000","https://www.ptt.cc/bbs/MacShop/M.1445180794.A.B14.html"
"133","標題[賣/台北] 近全新iphone6 OtterBox 保護殼","時間Sun Oct 18 23:08:42 2015","[交易價格]：","https://www.ptt.cc/bbs/MacShop/M.1445180926.A.6F6.html"
"134","標題[賣/台北] iphone6 16G 銀色 保固內 ","時間Sun Oct 18 23:11:42 2015","[交易價格]：15000","https://www.ptt.cc/bbs/MacShop/M.1445181105.A.869.html"
"135","標題[賣/全省] iphone 6s 64g 玫瑰金 27600","時間Sun Oct 18 23:16:05 2015","[交易價格]：$27600","https://www.ptt.cc/bbs/MacShop/M.1445181368.A.342.html"
"136","標題[賣/台北] Iphone5 32g 銀白 ","時間Sun Oct 18 23:19:11 2015","[交易價格]：5500","https://www.ptt.cc/bbs/MacShop/M.1445181554.A.723.html"
"137","標題[賣/台北] 全新iPhone 6s 64G 玫瑰金 現貨","時間Sun Oct 18 23:19:46 2015","[交易價格]：原價$28500","https://www.ptt.cc/bbs/MacShop/M.1445181589.A.651.html"
"138","標題[賣/台中] iphone 5 16G 黑色 全新整新","時間Sun Oct 18 23:25:52 2015","[交易價格]：6288","https://www.ptt.cc/bbs/MacShop/M.1445181954.A.220.html"
"139","標題[賣/台南] iphone 6 PLUS 金 64G","時間Sun Oct 18 23:26:49 2015","[交易價格]：$18000","https://www.ptt.cc/bbs/MacShop/M.1445182012.A.453.html"
"140","[交易價格]：19000","https://www.ptt.cc/bbs/MacShop/M.1445182273.A.97D.html","[交易價格]：19000","https://www.ptt.cc/bbs/MacShop/M.1445182273.A.97D.html"
"141","標題[賣/全台] iPod classic 整新機 ","時間Sun Oct 18 23:33:19 2015","[交易價格]：9000","https://www.ptt.cc/bbs/MacShop/M.1445182402.A.B0B.html"
